"","original","loop_interchange_1","loop_interchange_2","loop_unrolling","loop_fusion","function_inlining","common_subexpression_elimination","strength_reduction","compiler_help","original_fast","loop_interchange_fast_1","loop_interchange_fast_2","loop_unrolling_fast","loop_fusion_fast","function_inlining_fast","common_subexpression_elimination_fast","strength_reduction_fast","compiler_help_fast"
"0","3.26381","2.28707","3.50083","2.57616","2.72162","1.55245","1.52657","1.54042","1.34807","0.820995","0.056729","0.0631579","0.0728238","0.0725712","0.0706691","0.0744636","0.0750027","0.066346"
"1","3.28473","2.28073","3.52026","2.56576","2.78511","1.55369","1.54379","1.54895","1.34944","0.805709","0.0580516","0.0664104","0.0697637","0.076125","0.072325","0.0699378","0.0669094","0.0637664"
"2","3.28561","2.28463","3.49799","2.64955","2.70404","1.56547","1.5456","1.56502","1.35163","0.821023","0.0555036","0.06339","0.074514","0.0678496","0.0714225","0.0786922","0.0713779","0.0636971"
"3","3.27328","2.28165","3.49284","2.59035","2.69952","1.53347","1.52793","1.49138","1.34621","0.812722","0.0552396","0.0667275","0.0729296","0.073952","0.0694317","0.0766041","0.0739558","0.0644124"
"4","3.2679","2.27404","3.50291","2.6081","2.72977","1.55171","1.5515","1.52746","1.34147","0.818336","0.0574993","0.0621885","0.0692994","0.0700706","0.0683062","0.0746595","0.0683626","0.0850704"
"5","3.26157","2.28752","3.55317","2.5823","2.72695","1.52343","1.56814","1.52045","1.34925","0.809869","0.055358","0.067626","0.0759564","0.0717134","0.0720922","0.0692061","0.0698933","0.0634157"
"6","3.28812","2.28909","3.5671","2.66228","2.70825","1.52759","1.54605","1.56113","1.35349","0.814296","0.0553801","0.0670499","0.0669023","0.0736057","0.0709063","0.0720299","0.0702758","0.0639028"
"7","3.26986","2.27825","3.76924","2.62974","2.69983","1.5007","1.56418","1.55021","1.33952","0.816316","0.0587287","0.0637983","0.076349","0.0703019","0.0686782","0.0760941","0.0700327","0.0621041"
"8","3.29171","2.28722","3.94088","2.596","2.76131","1.56033","1.53899","1.54309","1.34525","0.823613","0.0549358","0.0636709","0.0749627","0.0671645","0.0688107","0.0676892","0.0688723","0.0636817"
"9","3.28743","2.28748","4.1297","2.60226","2.70265","1.54827","1.53784","1.61821","1.34689","0.80784","0.0554374","0.0662008","0.0719382","0.0693579","0.0671885","0.0776202","0.0718784","0.0624161"
"10","3.28037","2.28557","4.2832","2.63802","2.72779","1.55163","1.54276","1.51444","1.34398","0.813823","0.0556899","0.0660601","0.0718763","0.0677642","0.0752197","0.0710342","0.0783083","0.0636674"
"11","3.27658","2.2784","4.22474","2.63102","2.75695","1.54376","1.55499","1.52333","1.34189","0.814754","0.0547489","0.0651449","0.0700886","0.0714566","0.0702853","0.0652817","0.0744525","0.0627639"
